"1AG.AX",11.70M,0.085
"1AL.AX",128.36M,0.995
"1PG.AX",115.43M,0.75
"1ST.AX",4.84M,0.054
"3PL.AX",153.68M,1.12
"4DS.AX",17.14M,0.026
"88E.AX",123.37M,0.039
"8CO.AX",9.18M,0.17
"8EC.AX",31.41B,0.95
"8IH.AX",314.29M,0.88
"A2M.AX",1.21B,1.675
"AAC.AX",783.38M,1.47
"AAD.AX",1.01B,2.25
"AAI.AX",15.78B,12.00
"AAJ.AX",2.08M,0.009
"AAK.AX",836910.06,0.002
"AAL.AX",1.75M,0.007
"AAP.AX",6.26M,0.036
"AAR.AX",3.07M,0.017
"AAU.AX",4.00M,0.022
"AAX.AX",64.88M,0.35
"AB1.AX",37.69M,0.225
"ABA.AX",187.93M,5.06
"ABC.AX",3.52B,5.42
"ABL.AX",5.57M,0.014
"ABP.AX",1.82B,3.29
"ABT.AX",N/A,0.85
"ABU.AX",19.89M,0.058
"ABV.AX",17.83M,0.01
"ABW.AX",N/A,0.84
"ABX.AX",19.10M,0.135
"ABY.AX",100.28M,0.32
"ACB.AX",7.71M,0.016
"ACG.AX",30.46M,0.155
"ACK.AX",46.43M,0.45
"ACL.AX",3.57M,0.011
"ACO.AX",N/A,3.43
"ACP.AX",N/A,0.17
"ACQ.AX",N/A,0.88
"ACR.AX",103.96M,0.64
"ACS.AX",9.87M,0.08
"ACU.AX",6.11M,0.034
"ACW.AX",56.98M,0.094
"ACX.AX",1.02B,6.19
"AD1.AX",N/A,N/A
"ADA.AX",183.90M,2.32
"ADD.AX",273300.00,0.012
"ADH.AX",419.66M,2.53
"ADJ.AX",105.08M,0.10
"ADN.AX",5.97M,0.017
"ADO.AX",36.20M,0.047
"ADQ.AX",N/A,0.44
"ADR.AX",70.86M,0.495
"ADV.AX",26.12M,0.043
"ADX.AX",5.25M,0.008
"ADY.AX",12.18M,0.012
"AEB.AX",15.58M,0.046
"AEE.AX",6.57M,0.016
"AEF.AX",74.38M,67.99
"AEG.AX",137.87M,1.175
"AEI.AX",62.89M,0.415
"AEJ.AX",N/A,8.00
"AER.AX",6.03M,0.11
"AEV.AX",96.40M,0.23
"AFA.AX",175.12M,0.29
"AFG.AX",N/A,1.10
"AFI.AX",6.30B,5.60
"AFP.AX",182.75M,2.50
"AFR.AX",33.62M,0.055
"AFT.AX",8.51M,0.001
"AFY.AX",198.83B,1.40
"AGD.AX",71.81M,0.15
"AGE.AX",4.25M,0.012
"AGF.AX",N/A,0.805
"AGG.AX",1.63B,4.01
"AGI.AX",841.48M,2.54
"AGJ.AX",3.90M,0.04
"AGL.AX",12.73B,18.87
"AGO.AX",48.05M,0.018
"AGR.AX",42.19M,0.115
"AGS.AX",15.02M,0.036
"AGX.AX",1.89M,0.012
"AGY.AX",11.13M,0.026
"AHF.AX",34.35M,0.22
"AHG.AX",1.22B,3.98
"AHK.AX",5.25M,0.13
"AHL.AX",52.69M,0.33
"AHN.AX",4.52M,0.026
"AHQ.AX",851704.94,0.005
"AHR.AX",N/A,0.025
"AHX.AX",144.27M,1.465
"AHY.AX",1.13B,2.00
"AHZ.AX",72.61M,0.37
"AIA.AX",7.32B,6.15
"AIB.AX",5.88M,0.83
"AIK.AX",63.00B,0.115
"AIO.AX",8.63B,8.87
"AIQ.AX",14.38M,0.11
"AIR.AX",2.49M,0.08
"AIS.AX",4.62M,0.04
"AIV.AX",7.11M,0.011
"AIY.AX",1.81M,0.013
"AIZ.AX",2.36B,2.10
"AJA.AX",411.83M,6.79
"AJC.AX",2.71M,0.003
"AJD.AX",161.00M,1.40
"AJJ.AX",29.78M,0.10
"AJL.AX",52.23M,0.195
"AJM.AX",205.35M,0.23
"AJQ.AX",25.40M,0.079
"AJR.AX",1.83M,0.023
"AJX.AX",168.79M,0.59
"AJY.AX",N/A,0.24
"AKF.AX",4.62M,0.07
"AKG.AX",13.94M,0.19
"AKK.AX",2.62M,0.007
"AKM.AX",5.57M,0.006
"AKP.AX",316.20M,12.30
"AKY.AX",7.07B,9.04
"ALA.AX",4.95M,0.115
"ALC.AX",N/A,0.047
"ALF.AX",365.19M,1.36
"ALI.AX",N/A,1.85
"ALK.AX",84.91M,0.205
